pt_BR,en_US,source
Expedição de documento,Issuance of Document,paper
Conclusão,Conclusion,paper
Petição,Petition,paper
Mero expediente,Ordinary Act,paper
Decurso de Prazo,Lapse of Term,legal
Audiência,Hearing,paper
Disponibilização no Diário da Justiça Eletrônico,Publication in Electronic Judicial Gazette,legal
Publicação,Publication,legal
Definitivo,Definitive Filing,paper
Distribuição,Distribution,paper
Documento,Document,paper
Mandado,Warrant,legal
Remessa,Forwarding,legal
Ato ordinatório,Ordinary Act,paper
de Instrução,of Instruction,literal
Homologação de Transação,Transaction Approval,paper
Trânsito em julgado,Final Judgment,paper
Desarquivamento,Unarchiving,paper
Recebimento,Receipt,legal
Inicial,Initial,literal
Assistência Judiciária Gratuita,Free Legal Aid,legal
Extinção da execução ou do cumprimento da sentença,Execution Extinction,paper
Procedência em Parte,Partial Success,paper
de Conciliação,of Conciliation,literal
Gratuidade da Justiça,Free Legal Aid,legal
Sem efeito suspensivo,Without Suspensive Effect,legal
Improcedência,Dismissal of Claim,legal
Decisão,Decision,legal
Escrivão/Diretor de Secretaria/Secretário Jurídico,Court Clerk,legal
Cooperação Judiciária,Judicial Cooperation,legal
Antecipação de tutela,Preliminary Injunction,paper
Bloqueio/penhora on line,Online Asset Freeze,legal
Execução/Cumprimento de Sentença Iniciada (o),Judgment Enforcement Initiated,paper-ext
Procedência,Success,paper
Desistência,Withdrawal,legal
Cumprimento de Levantamento da Suspensão,Suspension Lifting Fulfilled,legal
Baixa Definitiva,Definitive Closure,legal
Liquidação iniciada,Liquidation Initiated,legal
Redistribuição,Redistribution,legal
Outras Decisões,Other Decisions,legal
Julgamento,Judgment,paper
Revogação,Revocation,legal
Mudança de Classe Processual,Case Class Change,legal
Reativação,Reactivation,literal
Não-Acolhimento de Embargos de Declaração,Motion for Clarification Denied,legal
Execução frustrada,Failed Execution,legal
Liminar,Preliminary Injunction,paper
Provisório,Provisional,literal
Convenção das Partes para Satisfação Voluntária da Obrigação em Execução ou Cumprimento de Sentença,Party Agreement for Voluntary Compliance in Execution or Judgment Enforcement,legal
Incompetência,Lack of Jurisdiction,legal
Por decisão judicial,By Judicial Decision,literal
Ausência do Reclamante,Plaintiff Absence,legal
